x,y
-8,85034.9
-7.6475,5.2275e+09
-7.3089,2.45417e+09
-6.9835,7.46134e+08
-6.6708,1.45888e+08
-6.3704,46343
-6.0818,-1.60891e+07
-5.8045,-9.02344e+06
-5.538,-3.19012e+06
-5.2819,-695344
-5.0359,25153.2
-4.7995,123422
-4.5724,82284.5
-4.3542,41606.3
-4.1445,21192.7
-3.943,13568.9
-3.7495,11099.4
-3.5635,10032.1
-3.3848,9132.46
-3.213,8187.62
-3.048,7252.87
-2.8895,6389.92
-2.7372,5621.59
-2.5908,4945.1
-2.4502,4349.72
-2.3151,3823.68
-2.1853,3357.96
-2.0605,2945.27
-1.9407,2580.56
-1.8255,2258.15
-1.7149,1973.94
-1.6085,1723.14
-1.5064,1502.49
-1.4082,1307.99
-1.3139,1136.89
-1.2233,986.358
-1.1362,853.926
-1.0526,737.698
-0.9722,635.588
-0.895,546.125
-0.8207,467.665
-0.7494,399.153
-0.6809,339.349
-0.6151,287.242
-0.5518,241.862
-0.4911,202.55
-0.4327,168.46
-0.3766,139.026
-0.3227,113.686
-0.2709,91.9432
-0.2211,73.3577
-0.1733,57.5735
-0.1273,44.211
-0.0832,33.0186
-0.0408,23.6941
0,16
0.0348,10.3918
0.0709,5.46892
0.1082,1.30471
0.1469,-2.06385
0.1868,-4.5647
0.2282,-6.16391
0.271,-6.80402
0.3153,-6.44041
0.3611,-5.03197
0.4085,-2.5409
0.4576,1.0681
0.5084,5.81533
0.561,11.7187
0.6154,18.773
0.6717,26.9697
0.7299,36.2688
0.7902,46.6419
0.8526,58.0048
0.9172,70.2608
0.984,83.2606
1.0531,96.8341
1.1247,110.786
1.1987,124.809
1.2754,138.611
1.3546,151.743
1.4367,163.783
1.5216,174.142
1.6095,182.178
1.7004,187.126
1.7945,188.106
1.8919,184.073
1.9927,173.788
2.097,155.762
2.2049,128.207
2.3166,88.9682
2.4322,35.6257
2.5518,-34.3199
2.6756,-123.117
2.8037,-232.081
2.9362,-361.229
3.0734,-510.096
3.2154,-680.531
3.3623,-884.816
3.5143,-1159.98
3.6716,-1584.78
3.8344,-2283.44
4.0029,-3373.39
4.1772,-4775.42
4.3577,-5786.55
4.5444,-4376.94
4.7376,3406.73
4.9375,22496.2
5.1445,52661
5.3586,70171.7
5.5802,-10195.4
5.8095,-387723
6.0468,-1.37885e+06
6.2924,-3.1405e+06
6.5465,-4.5283e+06
6.8095,-21660.5
7.0816,2.62013e+07
7.3633,1.05961e+08
7.6547,2.71242e+08
7.9563,4.40832e+08
8.2685,-43414.7
8.5915,-3.33438e+09
8.9257,-1.56158e+10
9.2716,-4.70704e+10
9.6296,-9.19133e+10
10,-83592
